ACE2,RBD,Score
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718655","0.013855443,-0.02226926,-0.05762649 -0.018504795,-0.06020775,-0.05945979",5.0781
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718656","0.016580587,-0.032460034,-0.05465871 -0.024379967,-0.06621236,-0.06963505",5.1097
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718657","0.038836032,-0.035421647,-0.049998853 -0.02453424,-0.061577957,-0.068592094",5.094
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718658","0.006342252,-0.022455249,-0.055173438 -0.018921131,-0.05890072,-0.06842414",5.0977
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718659","0.040853925,-0.035600215,-0.04730041 -0.022593437,-0.061598126,-0.07000266",5.1013
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718660","0.04666412,-0.030151712,-0.056219116 -0.014585972,-0.09071081,-0.051075615",5.0952
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718661","0.029604875,-0.030271351,-0.069989905 -0.019523937,-0.05670124,-0.06707277",5.161
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718662","0.036096312,-0.017799646,-0.05824702 -0.04177727,-0.05241589,-0.0402349",10.3934
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718663","0.00404085,-0.027249154,-0.060553905 -0.04338842,-0.041163262,-0.048501838",5.1394
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718664","0.040134273,-0.028625755,-0.05303971 -0.032203853,-0.056465484,-0.057501312",10.2358
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718665","0.037692346,-0.016511634,-0.058424648 -0.039316192,-0.059216116,-0.034721952",10.3097
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718666","0.035894644,-0.019097477,-0.061080318 -0.038425744,-0.06106599,-0.040347375",11.3879
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718667","0.023471216,-0.019420516,-0.060560532 -0.043720245,-0.04707144,-0.03597228",9.5892
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718668","0.026069278,-0.024882397,-0.060680624 -0.038499042,-0.0697849,-0.03388014",11.2667
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718669","0.022413058,-0.0117175635,-0.059060607 -0.032238726,-0.07582905,-0.026120655",10.8175
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718670","0.0062999004,-0.014084268,-0.08442816 -0.03300891,-0.0598915,-0.037733473",8.4421
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718671","0.025018062,-0.027320486,-0.05497349 -0.027623132,-0.07015257,-0.037515413",10.9824
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718672","0.0278638,-0.011892186,-0.055463884 -0.05153383,-0.06733735,-0.010341257",10.8643
"0.050806314,-0.060433708,-0.051310044 -0.09823691,-0.01795566,0.07718673","-0.032351878,-0.0559463,-0.06501481 -0.028435616,-0.05491547,-0.11509451",9.1907
